file,glitch_file_found,glitch_times_in_range,n_glitches
background-1403494130-4414.h5,True,817,817
background-1402402667-17430.h5,True,3228,3228
background-1403075218-40998.h5,True,7114,7114
background-1402280002-29947.h5,True,5141,5141
background-1401696321-8160.h5,True,1474,1474
background-1402357665-19536.h5,True,3816,3816
background-1402959076-33936.h5,True,6275,6275
background-1403188661-10138.h5,True,1766,1766
background-1403564694-24047.h5,True,4608,4608
background-1403039837-14419.h5,True,2418,2418
background-1402231542-31743.h5,True,5467,5467
background-1403206487-11893.h5,True,2202,2202
background-1403452039-1031.h5,True,181,181
background-1402616608-6836.h5,True,1107,1107
background-1402088592-7072.h5,True,1195,1195
background-1403647395-18181.h5,True,3396,3396
background-1403900253-7467.h5,True,1364,1364
background-1403759643-2804.h5,True,491,491
background-1402722547-1516.h5,True,273,273
background-1402660213-13252.h5,True,2302,2302
background-1402630742-6575.h5,True,1057,1057
background-1403466347-1491.h5,True,264,264
background-1402046551-23281.h5,True,3850,3850
background-1402571386-14037.h5,True,2350,2350
background-1402348089-3284.h5,True,560,560
background-1402200167-25888.h5,True,4646,4646
background-1402270105-9565.h5,True,1820,1820
background-1403472715-1963.h5,True,368,368
background-1402436028-55388.h5,True,9913,9913
background-1403482940-4195.h5,True,884,884
background-1403766089-24271.h5,True,4235,4235
background-1403250187-2998.h5,True,618,618
background-1403732248-8415.h5,True,1449,1449
background-1403504012-5501.h5,True,1070,1070
background-1402080387-3080.h5,True,541,541
background-1402945563-3394.h5,True,722,722
background-1403267529-10689.h5,True,1871,1871
background-1402728067-26364.h5,True,4790,4790
background-1403754093-2077.h5,True,352,352
background-1403305876-1884.h5,True,376,376
background-1403467851-4682.h5,True,840,840
background-1403389354-12471.h5,True,2106,2106
background-1403635399-11935.h5,True,1976,1976
background-1403457300-7138.h5,True,1282,1282
background-1403556744-3215.h5,True,561,561
background-1403020242-2810.h5,True,573,573
background-1402907224-23610.h5,True,4304,4304
background-1402428544-5911.h5,True,1004,1004
background-1403669687-4839.h5,True,806,806
background-1402641940-10393.h5,True,1683,1683
background-1402396067-4066.h5,True,846,846
background-1403118099-9284.h5,True,1559,1559
background-1403824569-1408.h5,True,229,229
background-1403866638-16501.h5,True,2819,2819
background-1403413243-15494.h5,True,2560,2560
background-1403516745-18745.h5,True,3373,3373
background-1403309845-45773.h5,True,8084,8084
background-1403258503-8224.h5,True,1462,1462
background-1402949094-4477.h5,True,820,820
background-1403690188-6659.h5,True,1113,1113
background-1402592857-22522.h5,True,3766,3766
background-1403298287-7178.h5,True,1478,1478
background-1403677775-3130.h5,True,474,474
background-1402513239-1866.h5,True,417,417
background-1403057778-3969.h5,True,708,708
background-1402310584-17240.h5,True,2872,2872
background-1403711185-4178.h5,True,710,710
background-1402095667-50421.h5,True,9076,9076
background-1402498173-7627.h5,True,1324,1324
background-1403140125-6718.h5,True,1208,1208
background-1403027575-9210.h5,True,1589,1589
background-1402860176-40556.h5,True,10416,10416
background-1402797257-42796.h5,True,8852,8852
background-1403790714-30214.h5,True,5152,5152
background-1402997522-11357.h5,True,2089,2089
background-1403219603-7154.h5,True,1592,1592
background-1402342380-928.h5,True,152,152
background-1403160828-14945.h5,True,2546,2546
background-1402686754-28601.h5,True,5479,5479
background-1403697272-13408.h5,True,2321,2321
background-1403388029-1315.h5,True,248,248
background-1403135796-672.h5,True,131,131
background-1402539132-11552.h5,True,2037,2037
background-1403830696-26924.h5,True,4987,4987
background-1402351626-6004.h5,True,1107,1107
background-1402553138-11601.h5,True,2121,2121
background-1403625807-3179.h5,True,558,558
background-1403719267-11117.h5,True,1865,1865
